Street Address,Postal Code,Municipality,Date,Hearing Type,Rental,Units,Below Market Units,Replaced Units,Consistent w/ OCP,Decision,Support,Against,Notes
485 Joffre St,V9A 6C7,Esquimalt,"March 6, 2023",,No,6,,,,Yes,"Desjardins,Armour,Boardman,Cavens,Helliwell,Morrison",Rotchford,
3977 Rainbow St,V8X 2A7,Saanich,"February 28, 2023",,No,25,0,3,Yes,Yes,"de Vries,Harper,Murdock,Brice,Phelps Bondaroff","Chambers,Plant,Brownoff,Westhaver",
906 Old Esquimalt Road,V9A 4X3,Esquimalt,"December 19, 2022",,No,5,,1,,Yes,"Cavens,Rotchford,Desjardins,Morrison,Helliwell",,Broadman and Armour Absent
2859 Richmond Road,V8R 4T8,Saanich,"November 29, 2022",,No,9,1,1,No,Yes,"de Vries,Chambers,Plant,Phelps Bondaroff,Murdock,Harper,Brice,Westhaver,Brownoff",,
902 Foul Bay Road,"V8S 4H8",Victoria,"September 8, 2022",,No,18,4,0,Yes,Yes,"Alto,Loveday,Helps,Isitt,Dubow,Potts","Young,Thornton-Joe",
1555 McKenzie,V8N 1A4,Saanich,"August 23, 2022",,Yes,384,0,0,Yes,Yes,"Plant,Harper,Haynes,de Vries,Taylor,Brice,Chambers",,
822 Catherine St,V9A 3V1,Victoria,"August 4, 2022",,Yes,31,3,9,,Yes,"Alto,Loveday,Helps,Thornton-Joe,Potts,Isitt,Dubow",Young,
11 Chown Place,V9A 1H5,Victoria,"July 28, 2022",,Yes,313,313,,,Yes,"Alto,Helps,Loveday,Thornton-Joe,Potts,Young,Isitt,Dubow",,OCP amendment for master plan
630 Gorge Rd W,V9A 1N5,Saanich,"July 12, 2022",,No,25,,,,Yes,"Plant,Harper,de Vries,Taylor,Mersereau,Haynes,Brice","Brownoff,Chambers",
"1641, 1647 McRae Ave & 3226 Shelbourne St",V8P 1H2,Saanich,"July 5, 2022",,No,87,,,,Yes,"Harper,Mersereau,de Vries,Taylor,Haynes,Brice,Plant,Brownoff,Chambers",,
"1207, 1211, 1215, 1217, 1219, 1221 Carlisle Ave, 512 & 522 Fraser St ad 1212, 1216, 1220, 1222, 1224 and 1226 Lyall St",V9A 5C7,Esquimalt,"June 27, 2022",,Yes,213,0,14,,Yes,"Helliwell,Armour,Vermeulen,Hundleby,Morrison",,"Braeme absent, Desjardin recused"
520 Normandy,V8S1G9,Saanich,"June 21, 2022",,Yes,68,0,1,Yes,Yes,"de Vries,Plant,Chambers,Mersereau,Taylor,Harper,Brice,Haynes",,
750 Enterprise Crescent,V8Z 6R4,Saanich,"June 21, 2022",,No,251,25,0,No,Yes,"Plant,Taylor,de Vries,Mersereau,Haynes,Brice,Brownoff,Harper",Chambers,
815-825 Selkirk Ave,V9A 2T7,Esquimalt,"June 13, 2022",,No,46,,,Yes,Yes,"Morrison,Vermeulen,Brame,Desjardins","Hundleby,Armour",
1025 Kings ,V8T 1W8,Victoria,"April 28, 2022",,Yes,56,56,15,Yes,Yes,"Alto,Loveday,Helps,Thornton-Joe,Potts,Young,Isitt,Dubow,Andrew",,
